Year,Category,Type,Name,Birth_City,Birth_Country,Sex,Organization_Name,Organization_City,Organization_Country
2000,Economics,Individual,Daniel L. McFadden,"Raleigh, NC",United States of America,Male,University of California,"Berkeley, CA",United States of America
2000,Literature,Individual,Gao Xingjian,Ganzhou,China,Male,,,
2000,Medicine,Individual,Arvid Carlsson,Uppsala,Sweden,Male,Göteborg University,Gothenburg,Sweden
2000,Medicine,Individual,Paul Greengard,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America
2000,Medicine,Individual,Eric R. Kandel,Vienna,Austria,Male,Columbia University,"New York, NY",United States of America
2000,Peace,Individual,Kim Dae-jung,Mokpo,Korea (South Korea),Male,,,
2000,Physics,Individual,Zhores I. Alferov,"Vitebsk, Belorussia",Union of Soviet Socialist Republics (Belarus),Male,A.F. Ioffe Physico-Technical Institute,St. Petersburg,Russia
2000,Physics,Individual,Herbert Kroemer,Weimar,Germany,Male,University of California,"Santa Barbara, CA",United States of America
2000,Physics,Individual,Jack S. Kilby,"Jefferson City, MO",United States of America,Male,Texas Instruments,"Dallas, TX",United States of America
2001,Chemistry,Individual,William S. Knowles,"Taunton, MA",United States of America,Male,,"St. Louis, MO",United States of America
2001,Chemistry,Individual,Ryoji Noyori,Kobe,Japan,Male,Nagoya University,Nagoya,Japan
2001,Chemistry,Individual,K. Barry Sharpless,"Philadelphia, PA",United States of America,Male,The Scripps Research Institute,"La Jolla, CA",United States of America
2001,Economics,Individual,George A. Akerlof,"New Haven, CT",United States of America,Male,University of California,"Berkeley, CA",United States of America
2001,Economics,Individual,A. Michael Spence,"Montclair, NJ",United States of America,Male,Stanford University,"Stanford, CA",United States of America
2001,Economics,Individual,Joseph E. Stiglitz,"Gary, IN",United States of America,Male,Columbia University,"New York, NY",United States of America
2001,Literature,Individual,Sir Vidiadhar Surajprasad Naipaul,,Trinidad,Male,,,
2001,Medicine,Individual,Leland H. Hartwell,"Los Angeles, CA",United States of America,Male,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America
2001,Medicine,Individual,Tim Hunt,Neston,United Kingdom,Male,Imperial Cancer Research Fund,London,United Kingdom
2001,Medicine,Individual,Sir Paul M. Nurse,Norwich,United Kingdom,Male,Imperial Cancer Research Fund,London,United Kingdom
2001,Peace,Organization,United Nations (U.N.),,,,,,
2001,Peace,Individual,Kofi Annan,Kumasi,Gold Coast (Ghana),Male,,,
2001,Physics,Individual,Eric A. Cornell,"Palo Alto, CA",United States of America,Male,"University of Colorado, JILA","Boulder, CO",United States of America
2001,Physics,Individual,Wolfgang Ketterle,Heidelberg,West Germany (Germany),Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
2001,Physics,Individual,Carl E. Wieman,"Corvallis, OR",United States of America,Male,"University of Colorado, JILA","Boulder, CO",United States of America
2002,Chemistry,Individual,John B. Fenn,"New York, NY",United States of America,Male,Virginia Commonwealth University,"Richmond, VA",United States of America
2002,Chemistry,Individual,Koichi Tanaka,Toyama City,Japan,Male,Shimadzu Corp.,Kyoto,Japan
2002,Chemistry,Individual,Kurt Wüthrich,Aarberg,Switzerland,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland
2002,Chemistry,Individual,Kurt Wüthrich,Aarberg,Switzerland,Male,The Scripps Research Institute,"La Jolla, CA",United States of America
2002,Economics,Individual,Daniel Kahneman,Tel Aviv,British Mandate of Palestine (Israel),Male,Princeton University,"Princeton, NJ",United States of America
2002,Economics,Individual,Vernon L. Smith,"Wichita, KS",United States of America,Male,George Mason University,"Fairfax, VA",United States of America
2002,Literature,Individual,Imre Kertész,Budapest,Hungary,Male,,,
2002,Medicine,Individual,Sydney Brenner,Germiston,South Africa,Male,The Molecular Sciences Institute,"Berkeley, CA",United States of America
2002,Medicine,Individual,H. Robert Horvitz,"Chicago, IL",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
2002,Medicine,Individual,John E. Sulston,Cambridge,United Kingdom,Male,The Wellcome Trust Sanger Institute,Cambridge,United Kingdom
2002,Peace,Individual,Jimmy Carter,"Plains, GA",United States of America,Male,,,
2002,Physics,Individual,Raymond Davis Jr.,"Washington, DC",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America
2002,Physics,Individual,Masatoshi Koshiba,Toyohashi,Japan,Male,University of Tokyo,Tokyo,Japan
2002,Physics,Individual,Riccardo Giacconi,Genoa,Italy,Male,Associated Universities Inc.,"Washington, DC",United States of America
2003,Chemistry,Individual,Peter Agre,"Northfield, MN",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America
2003,Chemistry,Individual,Roderick MacKinnon,"Burlington, MA",United States of America,Male,Rockefeller University,"New York, NY",United States of America
2003,Chemistry,Individual,Roderick MacKinnon,"Burlington, MA",United States of America,Male,Howard Hughes Medical Institute,,
2003,Economics,Individual,Robert F. Engle III,"Syracuse, NY",United States of America,Male,New York University,"New York, NY",United States of America
2003,Economics,Individual,Clive W.J. Granger,Swansea,United Kingdom,Male,University of California,"San Diego, CA",United States of America
2003,Literature,Individual,John M. Coetzee,Cape Town,South Africa,Male,,,
2003,Medicine,Individual,Paul C. Lauterbur,"Sidney, OH",United States of America,Male,University of Illinois,"Urbana, IL",United States of America
2003,Medicine,Individual,Sir Peter Mansfield,London,United Kingdom,Male,"University of Nottingham, School of Physics and Astronomy",Nottingham,United Kingdom
2003,Peace,Individual,Shirin Ebadi,Hamadan,Iran,Female,,,
2003,Physics,Individual,Alexei A. Abrikosov,Moscow,Union of Soviet Socialist Republics (Russia),Male,Argonne National Laboratory,"Argonne, IL",United States of America
2003,Physics,Individual,Vitaly L. Ginzburg,Moscow,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia
2003,Physics,Individual,Anthony J. Leggett,London,United Kingdom,Male,University of Illinois,"Urbana, IL",United States of America
2004,Chemistry,Individual,Aaron Ciechanover,Haifa,British Protectorate of Palestine (Israel),Male,Technion - Israel Institute of Technology,Haifa,Israel
2004,Chemistry,Individual,Avram Hershko,Karcag,Hungary,Male,Technion - Israel Institute of Technology,Haifa,Israel
2004,Chemistry,Individual,Irwin Rose,"Brooklyn, NY",United States of America,Male,University of California,"Irvine, CA",United States of America
2004,Economics,Individual,Finn E. Kydland,Gjesdal,Norway,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America
2004,Economics,Individual,Finn E. Kydland,Gjesdal,Norway,Male,University of California,"Santa Barbara, CA",United States of America
2004,Economics,Individual,Edward C. Prescott,"Glens Falls, NY",United States of America,Male,Arizona State University,"Tempe, AZ",United States of America
2004,Economics,Individual,Edward C. Prescott,"Glens Falls, NY",United States of America,Male,Federal Reserve Bank of Minneapolis,"Minneapolis, MN",United States of America
2004,Literature,Individual,Elfriede Jelinek,Mürzzuschlag,Austria,Female,,,
2004,Medicine,Individual,Richard Axel,"New York, NY",United States of America,Male,Columbia University,"New York, NY",United States of America
2004,Medicine,Individual,Linda B. Buck,"Seattle, WA",United States of America,Female,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America
2004,Peace,Individual,Wangari Muta Maathai,Nyeri,Kenya,Female,,,
2004,Physics,Individual,David J. Gross,"Washington, DC",United States of America,Male,"University of California, Kavli Institute for Theoretical Physics","Santa Barbara, CA",United States of America
2004,Physics,Individual,H. David Politzer,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
2004,Physics,Individual,Frank Wilczek,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
2005,Chemistry,Individual,Yves Chauvin,Menin,Belgium,Male,Institut Français du Pétrole,Rueil-Malmaison,France
2005,Chemistry,Individual,Robert H. Grubbs,"Possum Trot, KY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
2005,Chemistry,Individual,Richard R. Schrock,"Berne, IN",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
2005,Economics,Individual,Robert J. Aumann,Frankfurt-on-the-Main,Germany,Male,"University of Jerusalem, Center for RationalityHebrew",Jerusalem,Israel
2005,Economics,Individual,Thomas C. Schelling,"Oakland, CA",United States of America,Male,"University of Maryland, Department of Economics and School of Public Policy","College Park, MD",United States of America
2005,Literature,Individual,Harold Pinter,London,United Kingdom,Male,,,
2005,Medicine,Individual,Barry J. Marshall,Kalgoorlie,Australia,Male,"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre",Nedlands,Australia
2005,Medicine,Individual,Barry J. Marshall,Kalgoorlie,Australia,Male,University of Western Australia,Perth,Australia
2005,Medicine,Individual,J. Robin Warren,Adelaide,Australia,Male,,Perth,Australia
2005,Peace,Organization,International Atomic Energy Agency (IAEA),,,,,,
2005,Peace,Individual,Mohamed ElBaradei,Cairo,Egypt,Male,,,
2005,Physics,Individual,Roy J. Glauber,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
2005,Physics,Individual,John L. Hall,"Denver, CO",United States of America,Male,"University of Colorado, JILA","Boulder, CO",United States of America
2005,Physics,Individual,John L. Hall,"Denver, CO",United States of America,Male,National Institute of Standards and Technology,"Boulder, CO",United States of America
2005,Physics,Individual,Theodor W. Hänsch,Heidelberg,Germany,Male,Max-Planck-Institut für Quantenoptik,Garching,Germany
2005,Physics,Individual,Theodor W. Hänsch,Heidelberg,Germany,Male,Ludwig-Maximilians- Universität,Munich,Germany
2006,Chemistry,Individual,Roger D. Kornberg,"St. Louis, MO",United States of America,Male,Stanford University,"Stanford, CA",United States of America
2006,Economics,Individual,Edmund S. Phelps,"Evanston, IL",United States of America,Male,Columbia University,"New York, NY",United States of America
2006,Literature,Individual,Orhan Pamuk,Istanbul,Turkey,Male,,,
2006,Medicine,Individual,Andrew Z. Fire,"Stanford, CA",United States of America,Male,Stanford University School of Medicine,"Stanford, CA",United States of America
2006,Medicine,Individual,Craig C. Mello,"New Haven, CT",United States of America,Male,University of Massachusetts Medical School,"Worcester, MA",United States of America
2006,Peace,Individual,Muhammad Yunus,Chittagong,British India (Bangladesh),Male,,,
2006,Peace,Organization,Grameen Bank,,,,,,
2006,Physics,Individual,John C. Mather,"Roanoke, VA",United States of America,Male,NASA Goddard Space Flight Center,"Greenbelt, MD",United States of America
2006,Physics,Individual,George F. Smoot,"Yukon, FL",United States of America,Male,University of California,"Berkeley, CA",United States of America
2007,Chemistry,Individual,Gerhard Ertl,Bad Cannstatt,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany
2007,Economics,Individual,Leonid Hurwicz,Moscow,Russia,Male,University of Minnesota,"Minneapolis, MN",United States of America
2007,Economics,Individual,Eric S. Maskin,"New York, NY",United States of America,Male,Institute for Advanced Study,"Princeton, NJ",United States of America
2007,Economics,Individual,Roger B. Myerson,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
2007,Literature,Individual,Doris Lessing,Kermanshah,Persia (Iran),Female,,,
2007,Medicine,Individual,Mario R. Capecchi,Verona,Italy,Male,University of Utah,"Salt Lake City, UT",United States of America
2007,Medicine,Individual,Mario R. Capecchi,Verona,Italy,Male,Howard Hughes Medical Institute,,
2007,Medicine,Individual,Sir Martin J. Evans,Stroud,United Kingdom,Male,Cardiff University,Cardiff,United Kingdom
2007,Medicine,Individual,Oliver Smithies,Halifax,United Kingdom,Male,University of North Carolina,"Chapel Hill, NC",United States of America
2007,Peace,Organization,Intergovernmental Panel on Climate Change (IPCC),,,,,,
2007,Peace,Individual,Albert Arnold (Al) Gore Jr.,"Washington, DC",United States of America,Male,,,
2007,Physics,Individual,Albert Fert,Carcassonne,France,Male,Universit&eacute; Paris-Sud,Orsay,France
2007,Physics,Individual,Albert Fert,Carcassonne,France,Male,Unit&eacute; Mixte de Physique CNRS/THALES,Orsay,France
2007,Physics,Individual,Peter Grünberg,Plzen,Czechoslovakia (Czech Republic),Male,Forschungszentrum J&uuml;lich,J&uuml;lich,Germany
2008,Chemistry,Individual,Osamu Shimomura,Kyoto,Japan,Male,Marine Biological Laboratory (MBL),"Woods Hole, MA",United States of America
2008,Chemistry,Individual,Osamu Shimomura,Kyoto,Japan,Male,Boston University Medical School,"Massachusetts, MA",United States of America
2008,Chemistry,Individual,Martin Chalfie,"Chicago, IL",United States of America,Male,Columbia University,"New York, NY",United States of America
2008,Chemistry,Individual,Roger Y. Tsien,"New York, NY",United States of America,Male,University of California,"San Diego, CA",United States of America
2008,Chemistry,Individual,Roger Y. Tsien,"New York, NY",United States of America,Male,Howard Hughes Medical Institute,,
2008,Economics,Individual,Paul Krugman,"New York, NY",United States of America,Male,Princeton University,"Princeton, NJ",United States of America
2008,Literature,Individual,Jean-Marie Gustave Le Clézio,Nice,France,Male,,,
2008,Medicine,Individual,Harald zur Hausen,Gelsenkirchen,Germany,Male,German Cancer Research Center,Heidelberg,Germany
2008,Medicine,Individual,Françoise Barré-Sinoussi,Paris,France,Female,"Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur",Paris,France
2008,Medicine,Individual,Luc Montagnier,Chabris,France,Male,World Foundation for AIDS Research and Prevention,Paris,France
2008,Peace,Individual,Martti Ahtisaari,Viipuri (Vyborg),Finland,Male,,,
2008,Physics,Individual,Yoichiro Nambu,Tokyo,Japan,Male,"Enrico Fermi Institute, University of Chicago","Chicago, IL",United States of America
2008,Physics,Individual,Makoto Kobayashi,Nagoya,Japan,Male,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan
2008,Physics,Individual,Toshihide Maskawa,Nagoya,Japan,Male,Kyoto Sangyo University,Kyoto,Japan
2008,Physics,Individual,Toshihide Maskawa,Nagoya,Japan,Male,"Yukawa Institute for Theoretical Physics (YITP), Kyoto University",Kyoto,Japan
2009,Chemistry,Individual,Venkatraman Ramakrishnan,"Chidambaram, Tamil Nadu",India,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
2009,Chemistry,Individual,Thomas A. Steitz,"Milwaukee, WI",United States of America,Male,Yale University,"New Haven, CT",United States of America
2009,Chemistry,Individual,Thomas A. Steitz,"Milwaukee, WI",United States of America,Male,Howard Hughes Medical Institute,,
2009,Chemistry,Individual,Ada E. Yonath,Jerusalem,British Mandate of Palestine (Israel),Female,Weizmann Institute of Science,Rehovot,Israel
2009,Economics,Individual,Elinor Ostrom,"Los Angeles, CA",United States of America,Female,Indiana University,"Bloomington, IN",United States of America
2009,Economics,Individual,Elinor Ostrom,"Los Angeles, CA",United States of America,Female,Arizona State University,"Tempe, AZ",United States of America
2009,Economics,Individual,Oliver E. Williamson,"Superior, WI",United States of America,Male,University of California,"Berkeley, CA",United States of America
2009,Literature,Individual,Herta Müller,"Nitzkydorf, Banat",Romania,Female,,,
2009,Medicine,Individual,Elizabeth H. Blackburn,"Hobart, Tasmania",Australia,Female,University of California,"San Francisco, CA",United States of America
2009,Medicine,Individual,Carol W. Greider,"San Diego, CA",United States of America,Female,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America
2009,Medicine,Individual,Jack W. Szostak,London,United Kingdom,Male,Harvard Medical School,"Boston, MA",United States of America
2009,Medicine,Individual,Jack W. Szostak,London,United Kingdom,Male,Massachusetts General Hospital,"Boston, MA",United States of America
2009,Medicine,Individual,Jack W. Szostak,London,United Kingdom,Male,Howard Hughes Medical Institute,,
2009,Peace,Individual,Barack H. Obama,"Honolulu, HI",United States of America,Male,,,
2009,Physics,Individual,Charles Kuen Kao,Shanghai,China,Male,Standard Telecommunication Laboratories,Harlow,United Kingdom
2009,Physics,Individual,Charles Kuen Kao,Shanghai,China,Male,Chinese University of Hong Kong,Hong Kong,China
2009,Physics,Individual,Willard S. Boyle,"Amherst, NS",Canada,Male,Bell Laboratories,"Murray Hill, NJ",United States of America
2009,Physics,Individual,George E. Smith,"White Plains, NY",United States of America,Male,Bell Laboratories,"Murray Hill, NJ",United States of America
2010,Chemistry,Individual,Richard F. Heck,"Springfield, MA",United States of America,Male,University of Delaware,,United States of America
2010,Chemistry,Individual,Ei-ichi Negishi,Changchun,China,Male,Purdue University,"West Lafayette, IN",United States of America
2010,Chemistry,Individual,Akira Suzuki,Mukawa,Japan,Male,Hokkaido University,Sapporo,Japan
2010,Economics,Individual,Peter A. Diamond,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
2010,Economics,Individual,Dale T. Mortensen,"Enterprise, OR",United States of America,Male,Northwestern University,"Evanston, IL",United States of America
2010,Economics,Individual,Dale T. Mortensen,"Enterprise, OR",United States of America,Male,Aarhus University,Aarhus,Denmark
2010,Economics,Individual,Christopher A. Pissarides,Nicosia,Cyprus,Male,London School of Economics and Political Science,London,United Kingdom
2010,Literature,Individual,Mario Vargas Llosa,Arequipa,Peru,Male,,,
2010,Medicine,Individual,Robert G. Edwards,Batley,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
2010,Peace,Individual,Liu Xiaobo,,China,Male,,,
2010,Physics,Individual,Andre Geim,Sochi,Russia,Male,University of Manchester,Manchester,United Kingdom
2010,Physics,Individual,Konstantin Novoselov,Nizhny Tagil,Russia,Male,University of Manchester,Manchester,United Kingdom
2011,Chemistry,Individual,Dan Shechtman,Tel Aviv,British Mandate of Palestine (Israel),Male,Technion - Israel Institute of Technology,Haifa,Israel
2011,Economics,Individual,Thomas J. Sargent,"Pasadena, CA",United States of America,Male,New York University,"New York, NY",United States of America
2011,Economics,Individual,Christopher A. Sims,"Washington, DC",United States of America,Male,Princeton University,"Princeton, NJ",United States of America
2011,Literature,Individual,Tomas Tranströmer,Stockholm,Sweden,Male,,,
2011,Medicine,Individual,Bruce A. Beutler,"Chicago, IL",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America
2011,Medicine,Individual,Bruce A. Beutler,"Chicago, IL",United States of America,Male,The Scripps Research Institute,"La Jolla, CA",United States of America
2011,Medicine,Individual,Jules A. Hoffmann,Echternach,Luxembourg,Male,University of Strasbourg,Strasbourg,France
2011,Medicine,Individual,Ralph M. Steinman,Montreal,Canada,Male,Rockefeller University,"New York, NY",United States of America
2011,Peace,Individual,Ellen Johnson Sirleaf,Monrovia,Liberia,Female,,,
2011,Peace,Individual,Leymah Gbowee,Monrovia,Liberia,Female,,,
2011,Peace,Individual,Tawakkol Karman,Ta'izz,Yemen,Female,,,
2011,Physics,Individual,Saul Perlmutter,"Champaign-Urbana, IL",United States of America,Male,Lawrence Berkeley National Laboratory,"Berkeley, CA",United States of America
2011,Physics,Individual,Saul Perlmutter,"Champaign-Urbana, IL",United States of America,Male,University of California,"Berkeley, CA",United States of America
2011,Physics,Individual,Brian P. Schmidt,"Missoula, MT",United States of America,Male,Australian National University,Weston Creek,Australia
2011,Physics,Individual,Adam G. Riess,"Washington, DC",United States of America,Male,Johns Hopkins University,"Baltimore, MD",United States of America
2011,Physics,Individual,Adam G. Riess,"Washington, DC",United States of America,Male,Space Telescope Science Institute,"Baltimore, MD",United States of America
2012,Chemistry,Individual,Robert J. Lefkowitz,"New York, NY",United States of America,Male,Howard Hughes Medical Institute,,
2012,Chemistry,Individual,Robert J. Lefkowitz,"New York, NY",United States of America,Male,Duke University Medical Center,"Durham, NC",United States of America
2012,Chemistry,Individual,Brian K. Kobilka,"Little Falls, MN",United States of America,Male,Stanford University School of Medicine,"Stanford, CA",United States of America
2012,Economics,Individual,Alvin E. Roth,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
2012,Economics,Individual,Alvin E. Roth,"New York, NY",United States of America,Male,Harvard Business School,"Boston, MA",United States of America
2012,Economics,Individual,Lloyd S. Shapley,"Cambridge, MA",United States of America,Male,University of California,"Los Angeles, CA",United States of America
2012,Literature,Individual,Mo Yan,Gaomi,China,Male,,,
2012,Medicine,Individual,Sir John B. Gurdon,Dippenhall,United Kingdom,Male,Gurdon Institute,Cambridge,United Kingdom
2012,Medicine,Individual,Shinya Yamanaka,Osaka,Japan,Male,Kyoto University,Kyoto,Japan
2012,Medicine,Individual,Shinya Yamanaka,Osaka,Japan,Male,Gladstone Institutes,"San Francisco, CA",United States of America
2012,Peace,Organization,European Union (EU),,,,,,
2012,Physics,Individual,Serge Haroche,Casablanca,Morocco,Male,Collège de France,Paris,France
2012,Physics,Individual,Serge Haroche,Casablanca,Morocco,Male,École Normale Supérieure,Paris,France
2012,Physics,Individual,David J. Wineland,"Milwaukee, WI",United States of America,Male,National Institute of Standards and Technology,"Boulder, CO",United States of America
2012,Physics,Individual,David J. Wineland,"Milwaukee, WI",United States of America,Male,University of Colorado,"Boulder, CO",United States of America
2013,Chemistry,Individual,Martin Karplus,Vienna,Austria,Male,Université de Strasbourg,Strasbourg,France
2013,Chemistry,Individual,Martin Karplus,Vienna,Austria,Male,Harvard University,"Cambridge, MA",United States of America
2013,Chemistry,Individual,Michael Levitt,Pretoria,South Africa,Male,Stanford University School of Medicine,"Stanford, CA",United States of America
2013,Chemistry,Individual,Arieh Warshel,Kibbutz Sde-Nahum,British Mandate of Palestine (Israel),Male,University of Southern California,"Los Angeles, CA",United States of America
2013,Economics,Individual,Eugene F. Fama,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
2013,Economics,Individual,Lars Peter Hansen,"Urbana, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
2013,Economics,Individual,Robert J. Shiller,"Detroit, MI",United States of America,Male,Yale University,"New Haven, CT",United States of America
2013,Literature,Individual,Alice Munro,Wingham,Canada,Female,,,
2013,Medicine,Individual,James E. Rothman,"Haverhill, MA",United States of America,Male,Yale University,"New Haven, CT",United States of America
2013,Medicine,Individual,Randy W. Schekman,"St. Paul, MN",United States of America,Male,University of California,"Berkeley, CA",United States of America
2013,Medicine,Individual,Randy W. Schekman,"St. Paul, MN",United States of America,Male,Howard Hughes Medical Institute,,
2013,Medicine,Individual,Thomas C. Südhof,Göttingen,Germany,Male,Stanford University,"Stanford, CA",United States of America
2013,Medicine,Individual,Thomas C. Südhof,Göttingen,Germany,Male,Howard Hughes Medical Institute,,
2013,Peace,Organization,Organisation for the Prohibition of Chemical Weapons (OPCW),,,,,,
2013,Physics,Individual,François Englert,Etterbeek,Belgium,Male,Université Libre de Bruxelles,Brussels,Belgium
2013,Physics,Individual,Peter W. Higgs,Newcastle upon Tyne,United Kingdom,Male,University of Edinburgh,Edinburgh,United Kingdom
2014,Chemistry,Individual,Eric Betzig,"Ann Arbor, MI",United States of America,Male,"Janelia Research Campus, Howard Hughes Medical Institute","Ashburn, VA",United States of America
2014,Chemistry,Individual,Stefan W. Hell,Arad,Romania,Male,Max Planck Institute for Biophysical Chemistry,Göttingen,Germany
2014,Chemistry,Individual,Stefan W. Hell,Arad,Romania,Male,German Cancer Research Center,Heidelberg,Germany
2014,Chemistry,Individual,William E. Moerner,"Pleasanton, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America
2014,Economics,Individual,Jean Tirole,Troyes,France,Male,Toulouse School of Economics (TSE),Toulouse,France
2014,Literature,Individual,Patrick Modiano,Paris,France,Male,,,
2014,Medicine,Individual,John O'Keefe,"New York, NY",United States of America,Male,University College,London,United Kingdom
2014,Medicine,Individual,May-Britt Moser,Fosnavåg,Norway,Female,Norwegian University of Science and Technology (NTNU),Trondheim,Norway
2014,Medicine,Individual,Edvard I. Moser,Ålesund,Norway,Male,Norwegian University of Science and Technology (NTNU),Trondheim,Norway
2014,Peace,Individual,Kailash Satyarthi,Vidisha,India,Male,,,
2014,Peace,Individual,Malala Yousafzai,Mingora,Pakistan,Female,,,
2014,Physics,Individual,Isamu Akasaki,Chiran,Japan,Male,Meijo University,Nagoya,Japan
2014,Physics,Individual,Isamu Akasaki,Chiran,Japan,Male,Nagoya University,Nagoya,Japan
2014,Physics,Individual,Hiroshi Amano,Hamamatsu,Japan,Male,Nagoya University,Nagoya,Japan
2014,Physics,Individual,Shuji Nakamura,Ikata,Japan,Male,University of California,"Santa Barbara, CA",United States of America
2015,Chemistry,Individual,Tomas Lindahl,Stockholm,Sweden,Male,Francis Crick Institute,Hertfordshire,United Kingdom
2015,Chemistry,Individual,Tomas Lindahl,Stockholm,Sweden,Male,Clare Hall Laboratory,Hertfordshire,United Kingdom
2015,Chemistry,Individual,Paul Modrich,"Raton, NM",United States of America,Male,Howard Hughes Medical Institute,"Durham, NC",United States of America
2015,Chemistry,Individual,Paul Modrich,"Raton, NM",United States of America,Male,Duke University School of Medicine,"Durham, NC",United States of America
2015,Chemistry,Individual,Aziz Sancar,Savur,Turkey,Male,University of North Carolina,"Chapel Hill, NC",United States of America
2015,Economics,Individual,Angus Deaton,Edinburgh,United Kingdom,Male,Princeton University,"Princeton, NJ",United States of America
2015,Literature,Individual,Svetlana Alexievich,Ivano-Frankivsk,Ukraine,Female,,,
2015,Medicine,Individual,William C. Campbell,Ramelton,Ireland,Male,Drew University,"Madison, NJ",United States of America
2015,Medicine,Individual,Satoshi ?mura,Yamanashi Prefecture,Japan,Male,Kitasato University,Tokyo,Japan
2015,Medicine,Individual,Youyou Tu,Zhejiang Ningbo,China,Female,China Academy of Traditional Chinese Medicine,Beijing,China
2015,Peace,Organization,National Dialogue Quartet,,,,,,
2015,Physics,Individual,Takaaki Kajita,Higashimatsuyama,Japan,Male,University of Tokyo,Kashiwa,Japan
2015,Physics,Individual,Arthur B. McDonald,Sydney,Canada,Male,Queen's University,Kingston,Canada
2016,Chemistry,Individual,Jean-Pierre Sauvage,Paris,France,Male,University of Strasbourg,Strasbourg,France
2016,Chemistry,Individual,Sir J. Fraser Stoddart,Edinburgh,United Kingdom,Male,Northwestern University,"Evanston, IL",United States of America
2016,Chemistry,Individual,Bernard L. Feringa,Barger-Compascuum,Netherlands,Male,University of Groningen,Groningen,Netherlands
2016,Economics,Individual,Oliver Hart,London,United Kingdom,Male,Harvard University,"Cambridge, MA",United States of America
2016,Economics,Individual,Bengt Holmström,Helsinki,Finland,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
2016,Literature,Individual,Bob Dylan,"Duluth, MN",United States of America,Male,,,
2016,Medicine,Individual,Yoshinori Ohsumi,Fukuoka,Japan,Male,Tokyo Institute of Technology,Tokyo,Japan
2016,Peace,Individual,Juan Manuel Santos,Bogotá,Colombia,Male,,,
2016,Physics,Individual,David J. Thouless,Bearsden,United Kingdom,Male,University of Washington,"Seattle, WA",United States of America
2016,Physics,Individual,F. Duncan M. Haldane,London,United Kingdom,Male,Princeton University,"Princeton, NJ",United States of America
2016,Physics,Individual,J. Michael Kosterlitz,Aberdeen,United Kingdom,Male,Brown University,"Providence, RI",United States of America
