Rank,Year,Month,Day,Year_to_Date_Rank,Last_Week_Rank,Title,Type,Exclusive,Release_Date,Days_in_Top_10,Viewership_Score
3,2021,9,2,3,2,Manifest,TV Show,No,"Jun 10, 2021",66,532
4,2021,9,2,-,-,Green Lantern,Movie,No,"Sep 1, 2021",1,7
5,2021,9,2,4,-,SAS: Red Notice,Movie,No,"Aug 27, 2021",6,45
6,2021,9,2,5,8,Cocomelon,TV Show,No,"Jun 1, 2020",309,1105
7,2021,9,2,-,-,Welcome Home Roscoe Jenkins,Movie,No,"Sep 1, 2021",1,4
8,2021,9,2,-,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",1,3
9,2021,9,2,6,5,All American,TV Show,No,"Mar 28, 2019",65,415
10,2021,9,2,9,9,Vivo,Movie,Yes,"Aug 6, 2021",27,161
1,2021,9,3,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",9,85
2,2021,9,3,-,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",1,9
3,2021,9,3,8,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",2,11
4,2021,9,3,3,3,Manifest,TV Show,No,"Jun 10, 2021",67,539
5,2021,9,3,2,-,Heâs All That,Movie,Yes,"Aug 27, 2021",7,63
6,2021,9,3,4,-,Green Lantern,Movie,No,"Sep 1, 2021",2,12
7,2021,9,3,7,-,Welcome Home Roscoe Jenkins,Movie,No,"Sep 1, 2021",2,8
8,2021,9,3,6,7,Cocomelon,TV Show,No,"Jun 1, 2020",310,1108
9,2021,9,3,5,-,SAS: Red Notice,Movie,No,"Aug 27, 2021",7,47
10,2021,9,3,9,6,All American,TV Show,No,"Mar 28, 2019",66,416
1,2021,9,4,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",10,95
2,2021,9,4,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",17,89
3,2021,9,4,2,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",2,17
4,2021,9,4,3,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",3,18
5,2021,9,4,6,-,Green Lantern,Movie,No,"Sep 1, 2021",3,18
6,2021,9,4,7,-,Welcome Home Roscoe Jenkins,Movie,No,"Sep 1, 2021",3,13
7,2021,9,4,4,4,Manifest,TV Show,No,"Jun 10, 2021",68,543
8,2021,9,4,5,1,Heâs All That,Movie,Yes,"Aug 27, 2021",8,66
9,2021,9,4,8,8,Cocomelon,TV Show,No,"Jun 1, 2020",311,1110
10,2021,9,4,-,9,Vivo,Movie,Yes,"Aug 6, 2021",28,162
1,2021,9,5,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",11,105
2,2021,9,5,2,-,Money Heist,TV Show,Yes,"Dec 20, 2017",18,98
3,2021,9,5,4,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",4,26
4,2021,9,5,3,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",3,24
5,2021,9,5,5,-,Green Lantern,Movie,No,"Sep 1, 2021",4,24
6,2021,9,5,6,-,Welcome Home Roscoe Jenkins,Movie,No,"Sep 1, 2021",4,18
7,2021,9,5,7,5,Manifest,TV Show,No,"Jun 10, 2021",69,547
8,2021,9,5,8,1,Heâs All That,Movie,Yes,"Aug 27, 2021",9,69
9,2021,9,5,9,9,Cocomelon,TV Show,No,"Jun 1, 2020",312,1112
10,2021,9,5,-,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",1,1
1,2021,9,6,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",12,115
2,2021,9,6,2,-,Money Heist,TV Show,Yes,"Dec 20, 2017",19,107
3,2021,9,6,3,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",5,34
4,2021,9,6,4,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",4,31
5,2021,9,6,5,-,Green Lantern,Movie,No,"Sep 1, 2021",5,30
6,2021,9,6,6,-,Welcome Home Roscoe Jenkins,Movie,No,"Sep 1, 2021",5,23
7,2021,9,6,7,4,Manifest,TV Show,No,"Jun 10, 2021",70,551
8,2021,9,6,10,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",2,4
9,2021,9,6,-,-,Worth,Movie,Yes,"Sep 3, 2021",1,2
10,2021,9,6,9,7,Cocomelon,TV Show,No,"Jun 1, 2020",313,1113
1,2021,9,7,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",13,125
2,2021,9,7,3,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",6,43
3,2021,9,7,2,-,Money Heist,TV Show,Yes,"Dec 20, 2017",20,115
4,2021,9,7,4,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",5,38
5,2021,9,7,9,-,Worth,Movie,Yes,"Sep 3, 2021",2,8
6,2021,9,7,7,4,Manifest,TV Show,No,"Jun 10, 2021",71,556
7,2021,9,7,8,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",3,8
8,2021,9,7,6,-,Welcome Home Roscoe Jenkins,Movie,No,"Sep 1, 2021",6,26
9,2021,9,7,5,-,Green Lantern,Movie,No,"Sep 1, 2021",6,32
10,2021,9,7,10,5,Cocomelon,TV Show,No,"Jun 1, 2020",314,1114
1,2021,9,8,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",14,135
2,2021,9,8,2,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",7,52
3,2021,9,8,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",21,123
4,2021,9,8,6,3,Manifest,TV Show,No,"Jun 10, 2021",72,563
5,2021,9,8,4,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",6,44
6,2021,9,8,10,5,Cocomelon,TV Show,No,"Jun 1, 2020",315,1119
7,2021,9,8,7,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",4,12
8,2021,9,8,5,-,Worth,Movie,Yes,"Sep 3, 2021",3,11
9,2021,9,8,8,-,Welcome Home Roscoe Jenkins,Movie,No,"Sep 1, 2021",7,28
10,2021,9,8,9,-,Green Lantern,Movie,No,"Sep 1, 2021",7,33
1,2021,9,9,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",15,145
2,2021,9,9,2,8,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",8,61
3,2021,9,9,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",22,131
4,2021,9,9,4,3,Manifest,TV Show,No,"Jun 10, 2021",73,570
5,2021,9,9,-,-,The Circle US,TV Show,Yes,"Jan 1, 2020",26,160
6,2021,9,9,6,6,Cocomelon,TV Show,No,"Jun 1, 2020",316,1124
7,2021,9,9,7,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",5,16
8,2021,9,9,5,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",7,47
9,2021,9,9,8,-,Worth,Movie,Yes,"Sep 3, 2021",4,13
10,2021,9,9,-,-,On the Verge,TV Show,Yes,"Sep 7, 2021",1,1
1,2021,9,10,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",16,155
2,2021,9,10,2,3,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",9,70
3,2021,9,10,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",23,139
4,2021,9,10,5,-,The Circle US,TV Show,Yes,"Jan 1, 2020",27,167
5,2021,9,10,6,8,Cocomelon,TV Show,No,"Jun 1, 2020",317,1130
6,2021,9,10,4,4,Manifest,TV Show,No,"Jun 10, 2021",74,575
7,2021,9,10,10,-,On the Verge,TV Show,Yes,"Sep 7, 2021",2,5
8,2021,9,10,7,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",6,19
9,2021,9,10,8,2,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",8,49
10,2021,9,10,9,-,Worth,Movie,Yes,"Sep 3, 2021",5,14
1,2021,9,11,-,-,Kate,Movie,Yes,"Sep 10, 2021",1,10
2,2021,9,11,-,-,Lucifer,TV Show,No,"Dec 15, 2018",44,314
3,2021,9,11,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",17,163
4,2021,9,11,2,4,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",10,77
5,2021,9,11,5,9,Cocomelon,TV Show,No,"Jun 1, 2020",318,1136
6,2021,9,11,4,-,The Circle US,TV Show,Yes,"Jan 1, 2020",28,172
7,2021,9,11,3,2,Money Heist,TV Show,Yes,"Dec 20, 2017",24,143
8,2021,9,11,8,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",7,22
9,2021,9,11,6,7,Manifest,TV Show,No,"Jun 10, 2021",75,577
10,2021,9,11,7,-,On the Verge,TV Show,Yes,"Sep 7, 2021",3,6
1,2021,9,12,1,-,Kate,Movie,Yes,"Sep 10, 2021",2,20
2,2021,9,12,2,-,Lucifer,TV Show,No,"Dec 15, 2018",45,323
3,2021,9,12,4,3,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",11,85
4,2021,9,12,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",18,170
5,2021,9,12,5,9,Cocomelon,TV Show,No,"Jun 1, 2020",319,1142
6,2021,9,12,8,10,Sharkdog,TV Show,Yes,"Sep 3, 2021",8,27
7,2021,9,12,-,-,Prey,Movie,Yes,"Sep 10, 2021",1,4
8,2021,9,12,6,-,The Circle US,TV Show,Yes,"Jan 1, 2020",29,175
9,2021,9,12,7,2,Money Heist,TV Show,Yes,"Dec 20, 2017",25,145
10,2021,9,12,10,-,On the Verge,TV Show,Yes,"Sep 7, 2021",4,7
1,2021,9,13,1,-,Kate,Movie,Yes,"Sep 10, 2021",3,30
2,2021,9,13,2,-,Lucifer,TV Show,No,"Dec 15, 2018",46,332
3,2021,9,13,4,1,Clickbait,TV Show,Yes,"Aug 25, 2021",19,178
4,2021,9,13,3,3,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",12,92
5,2021,9,13,7,-,Prey,Movie,Yes,"Sep 10, 2021",2,10
6,2021,9,13,5,10,Cocomelon,TV Show,No,"Jun 1, 2020",320,1147
7,2021,9,13,10,-,On the Verge,TV Show,Yes,"Sep 7, 2021",5,11
8,2021,9,13,-,-,An Unfinished Life,Movie,No,"Sep 1, 2021",1,3
9,2021,9,13,6,8,Sharkdog,TV Show,Yes,"Sep 3, 2021",9,29
10,2021,9,13,-,7,Manifest,TV Show,No,"Jun 10, 2021",76,578
1,2021,9,14,1,-,Kate,Movie,Yes,"Sep 10, 2021",4,40
2,2021,9,14,2,-,Lucifer,TV Show,No,"Dec 15, 2018",47,341
3,2021,9,14,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",20,186
4,2021,9,14,4,2,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",13,99
5,2021,9,14,5,-,Prey,Movie,Yes,"Sep 10, 2021",3,16
6,2021,9,14,6,10,Cocomelon,TV Show,No,"Jun 1, 2020",321,1152
7,2021,9,14,7,-,On the Verge,TV Show,Yes,"Sep 7, 2021",6,15
8,2021,9,14,8,-,An Unfinished Life,Movie,No,"Sep 1, 2021",2,6
9,2021,9,14,9,7,Sharkdog,TV Show,Yes,"Sep 3, 2021",10,31
10,2021,9,14,10,6,Manifest,TV Show,No,"Jun 10, 2021",77,579
1,2021,9,15,2,-,Lucifer,TV Show,No,"Dec 15, 2018",48,351
2,2021,9,15,1,-,Kate,Movie,Yes,"Sep 10, 2021",5,49
3,2021,9,15,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",21,194
4,2021,9,15,4,2,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",14,106
5,2021,9,15,5,-,Prey,Movie,Yes,"Sep 10, 2021",4,22
6,2021,9,15,6,6,Cocomelon,TV Show,No,"Jun 1, 2020",322,1157
7,2021,9,15,10,4,Manifest,TV Show,No,"Jun 10, 2021",78,583
8,2021,9,15,8,-,An Unfinished Life,Movie,No,"Sep 1, 2021",3,9
9,2021,9,15,9,7,Sharkdog,TV Show,Yes,"Sep 3, 2021",11,33
10,2021,9,15,7,-,On the Verge,TV Show,Yes,"Sep 7, 2021",7,16
1,2021,9,16,1,-,Lucifer,TV Show,No,"Dec 15, 2018",49,361
2,2021,9,16,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",22,203
3,2021,9,16,2,-,Kate,Movie,Yes,"Sep 10, 2021",6,57
4,2021,9,16,-,5,The Circle US,TV Show,Yes,"Jan 1, 2020",30,182
5,2021,9,16,4,2,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",15,112
6,2021,9,16,6,6,Cocomelon,TV Show,No,"Jun 1, 2020",323,1162
7,2021,9,16,7,4,Manifest,TV Show,No,"Jun 10, 2021",79,587
8,2021,9,16,5,-,Prey,Movie,Yes,"Sep 10, 2021",5,25
9,2021,9,16,8,-,An Unfinished Life,Movie,No,"Sep 1, 2021",4,11
10,2021,9,16,9,7,Sharkdog,TV Show,Yes,"Sep 3, 2021",12,34
1,2021,9,17,1,-,Lucifer,TV Show,No,"Dec 15, 2018",50,371
2,2021,9,17,2,1,Clickbait,TV Show,Yes,"Aug 25, 2021",23,212
3,2021,9,17,-,-,Safe House,Movie,No,"Sep 16, 2021",1,8
4,2021,9,17,3,-,Kate,Movie,Yes,"Sep 10, 2021",7,64
5,2021,9,17,4,4,The Circle US,TV Show,Yes,"Jan 1, 2020",31,188
6,2021,9,17,6,5,Cocomelon,TV Show,No,"Jun 1, 2020",324,1167
7,2021,9,17,5,2,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",16,116
8,2021,9,17,7,6,Manifest,TV Show,No,"Jun 10, 2021",80,590
9,2021,9,17,-,-,Nightbooks,Movie,Yes,"Sep 15, 2021",1,2
10,2021,9,17,9,-,An Unfinished Life,Movie,No,"Sep 1, 2021",5,12
1,2021,9,18,-,-,Sex Education,TV Show,Yes,"Jan 11, 2019",1,10
2,2021,9,18,3,-,Safe House,Movie,No,"Sep 16, 2021",2,17
3,2021,9,18,1,2,Lucifer,TV Show,No,"Dec 15, 2018",51,379
4,2021,9,18,2,3,Clickbait,TV Show,Yes,"Aug 25, 2021",24,219
5,2021,9,18,4,1,Kate,Movie,Yes,"Sep 10, 2021",8,70
6,2021,9,18,5,6,The Circle US,TV Show,Yes,"Jan 1, 2020",32,193
7,2021,9,18,6,5,Cocomelon,TV Show,No,"Jun 1, 2020",325,1171
8,2021,9,18,9,-,Nightbooks,Movie,Yes,"Sep 15, 2021",2,5
9,2021,9,18,10,-,An Unfinished Life,Movie,No,"Sep 1, 2021",6,14
10,2021,9,18,-,8,Sharkdog,TV Show,Yes,"Sep 3, 2021",13,35
1,2021,9,19,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",2,20
2,2021,9,19,2,-,Safe House,Movie,No,"Sep 16, 2021",3,26
3,2021,9,19,4,4,Clickbait,TV Show,Yes,"Aug 25, 2021",25,227
4,2021,9,19,3,2,Lucifer,TV Show,No,"Dec 15, 2018",52,386
5,2021,9,19,5,1,Kate,Movie,Yes,"Sep 10, 2021",9,76
6,2021,9,19,8,-,Nightbooks,Movie,Yes,"Sep 15, 2021",3,10
7,2021,9,19,7,5,Cocomelon,TV Show,No,"Jun 1, 2020",326,1175
8,2021,9,19,-,-,Squid Game,TV Show,Yes,"Sep 17, 2021",1,3
9,2021,9,19,6,8,The Circle US,TV Show,Yes,"Jan 1, 2020",33,195
10,2021,9,19,9,-,An Unfinished Life,Movie,No,"Sep 1, 2021",7,15
1,2021,9,20,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",3,30
2,2021,9,20,8,-,Squid Game,TV Show,Yes,"Sep 17, 2021",2,12
3,2021,9,20,2,-,Safe House,Movie,No,"Sep 16, 2021",4,34
4,2021,9,20,3,3,Clickbait,TV Show,Yes,"Aug 25, 2021",26,234
5,2021,9,20,4,2,Lucifer,TV Show,No,"Dec 15, 2018",53,392
6,2021,9,20,5,1,Kate,Movie,Yes,"Sep 10, 2021",10,81
7,2021,9,20,-,-,The Father Who Moves Mountains,Movie,Yes,"Sep 17, 2021",1,4
8,2021,9,20,7,6,Cocomelon,TV Show,No,"Jun 1, 2020",327,1178
9,2021,9,20,9,-,The Circle US,TV Show,Yes,"Jan 1, 2020",34,197
10,2021,9,20,6,-,Nightbooks,Movie,Yes,"Sep 15, 2021",4,11
1,2021,9,21,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",4,40
2,2021,9,21,2,-,Squid Game,TV Show,Yes,"Sep 17, 2021",3,21
3,2021,9,21,3,-,Safe House,Movie,No,"Sep 16, 2021",5,42
4,2021,9,21,4,3,Clickbait,TV Show,Yes,"Aug 25, 2021",27,241
5,2021,9,21,5,2,Lucifer,TV Show,No,"Dec 15, 2018",54,398
6,2021,9,21,6,1,Kate,Movie,Yes,"Sep 10, 2021",11,86
7,2021,9,21,7,-,The Father Who Moves Mountains,Movie,Yes,"Sep 17, 2021",2,8
8,2021,9,21,8,6,Cocomelon,TV Show,No,"Jun 1, 2020",328,1181
9,2021,9,21,9,-,The Circle US,TV Show,Yes,"Jan 1, 2020",35,199
10,2021,9,21,10,-,Nightbooks,Movie,Yes,"Sep 15, 2021",5,12
1,2021,9,22,2,-,Squid Game,TV Show,Yes,"Sep 17, 2021",4,31
2,2021,9,22,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",5,49
3,2021,9,22,4,3,Clickbait,TV Show,Yes,"Aug 25, 2021",28,249
4,2021,9,22,5,1,Lucifer,TV Show,No,"Dec 15, 2018",55,405
5,2021,9,22,3,-,Safe House,Movie,No,"Sep 16, 2021",6,48
6,2021,9,22,7,-,The Father Who Moves Mountains,Movie,Yes,"Sep 17, 2021",3,13
7,2021,9,22,8,6,Cocomelon,TV Show,No,"Jun 1, 2020",329,1185
8,2021,9,22,9,-,The Circle US,TV Show,Yes,"Jan 1, 2020",36,202
9,2021,9,22,6,2,Kate,Movie,Yes,"Sep 10, 2021",12,88
10,2021,9,22,-,9,Sharkdog,TV Show,Yes,"Sep 3, 2021",14,36
1,2021,9,23,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",5,41
2,2021,9,23,2,-,Sex Education,TV Show,Yes,"Jan 11, 2019",6,58
3,2021,9,23,3,2,Clickbait,TV Show,Yes,"Aug 25, 2021",29,257
4,2021,9,23,4,1,Lucifer,TV Show,No,"Dec 15, 2018",56,412
5,2021,9,23,5,-,Safe House,Movie,No,"Sep 16, 2021",7,54
6,2021,9,23,6,-,The Father Who Moves Mountains,Movie,Yes,"Sep 17, 2021",4,18
7,2021,9,23,7,6,Cocomelon,TV Show,No,"Jun 1, 2020",330,1189
8,2021,9,23,8,4,The Circle US,TV Show,Yes,"Jan 1, 2020",37,205
9,2021,9,23,9,3,Kate,Movie,Yes,"Sep 10, 2021",13,90
10,2021,9,23,10,10,Sharkdog,TV Show,Yes,"Sep 3, 2021",15,37
1,2021,9,24,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",6,51
2,2021,9,24,2,-,Sex Education,TV Show,Yes,"Jan 11, 2019",7,67
3,2021,9,24,-,-,Intrusion,Movie,Yes,"Sep 22, 2021",1,8
4,2021,9,24,-,-,Grown Ups,Movie,No,"Sep 20, 2021",1,7
5,2021,9,24,-,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",1,6
6,2021,9,24,8,5,The Circle US,TV Show,Yes,"Jan 1, 2020",38,210
7,2021,9,24,3,2,Clickbait,TV Show,Yes,"Aug 25, 2021",30,261
8,2021,9,24,4,1,Lucifer,TV Show,No,"Dec 15, 2018",57,415
9,2021,9,24,7,6,Cocomelon,TV Show,No,"Jun 1, 2020",331,1191
10,2021,9,24,5,3,Safe House,Movie,No,"Sep 16, 2021",8,55
1,2021,9,25,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",7,61
2,2021,9,25,3,-,Intrusion,Movie,Yes,"Sep 22, 2021",2,17
3,2021,9,25,2,1,Sex Education,TV Show,Yes,"Jan 11, 2019",8,75
4,2021,9,25,4,-,Grown Ups,Movie,No,"Sep 20, 2021",2,14
5,2021,9,25,-,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",1,6
6,2021,9,25,-,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",1,5
7,2021,9,25,-,-,The Starling,Movie,Yes,"Sep 24, 2021",1,4
8,2021,9,25,5,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",2,9
9,2021,9,25,6,6,The Circle US,TV Show,Yes,"Jan 1, 2020",39,212
10,2021,9,25,9,7,Cocomelon,TV Show,No,"Jun 1, 2020",332,1192
1,2021,9,26,1,8,Squid Game,TV Show,Yes,"Sep 17, 2021",8,71
2,2021,9,26,7,-,The Starling,Movie,Yes,"Sep 24, 2021",2,13
3,2021,9,26,6,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",2,13
4,2021,9,26,5,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",2,13
5,2021,9,26,2,-,Intrusion,Movie,Yes,"Sep 22, 2021",3,23
6,2021,9,26,4,-,Grown Ups,Movie,No,"Sep 20, 2021",3,19
7,2021,9,26,3,1,Sex Education,TV Show,Yes,"Jan 11, 2019",9,79
8,2021,9,26,8,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",3,12
9,2021,9,26,10,7,Cocomelon,TV Show,No,"Jun 1, 2020",333,1194
10,2021,9,26,-,3,Clickbait,TV Show,Yes,"Aug 25, 2021",31,262
1,2021,9,27,1,2,Squid Game,TV Show,Yes,"Sep 17, 2021",9,81
2,2021,9,27,2,-,The Starling,Movie,Yes,"Sep 24, 2021",3,22
3,2021,9,27,3,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",3,21
4,2021,9,27,4,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",3,20
5,2021,9,27,6,-,Grown Ups,Movie,No,"Sep 20, 2021",4,25
6,2021,9,27,7,1,Sex Education,TV Show,Yes,"Jan 11, 2019",10,84
7,2021,9,27,5,-,Intrusion,Movie,Yes,"Sep 22, 2021",4,27
8,2021,9,27,8,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",4,15
9,2021,9,27,10,4,Clickbait,TV Show,Yes,"Aug 25, 2021",32,264
10,2021,9,27,9,8,Cocomelon,TV Show,No,"Jun 1, 2020",334,1195
1,2021,9,28,1,2,Squid Game,TV Show,Yes,"Sep 17, 2021",10,91
2,2021,9,28,3,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",4,30
3,2021,9,28,2,-,The Starling,Movie,Yes,"Sep 24, 2021",4,30
4,2021,9,28,4,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",4,27
5,2021,9,28,5,-,Grown Ups,Movie,No,"Sep 20, 2021",5,31
6,2021,9,28,6,1,Sex Education,TV Show,Yes,"Jan 11, 2019",11,89
7,2021,9,28,10,8,Cocomelon,TV Show,No,"Jun 1, 2020",335,1199
8,2021,9,28,7,-,Intrusion,Movie,Yes,"Sep 22, 2021",5,30
9,2021,9,28,8,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",5,17
10,2021,9,28,9,4,Clickbait,TV Show,Yes,"Aug 25, 2021",33,265
1,2021,9,29,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",11,101
2,2021,9,29,2,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",5,39
3,2021,9,29,-,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",1,8
4,2021,9,29,3,-,The Starling,Movie,Yes,"Sep 24, 2021",5,37
5,2021,9,29,5,-,Grown Ups,Movie,No,"Sep 20, 2021",6,37
6,2021,9,29,4,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",5,32
7,2021,9,29,6,2,Sex Education,TV Show,Yes,"Jan 11, 2019",12,93
8,2021,9,29,7,7,Cocomelon,TV Show,No,"Jun 1, 2020",336,1202
9,2021,9,29,8,-,Intrusion,Movie,Yes,"Sep 22, 2021",6,32
10,2021,9,29,10,3,Clickbait,TV Show,Yes,"Aug 25, 2021",34,266
1,2021,9,30,3,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",2,18
2,2021,9,30,-,-,No One Gets Out Alive,Movie,Yes,"Sep 29, 2021",1,9
3,2021,9,30,6,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",6,40
4,2021,9,30,4,-,The Starling,Movie,Yes,"Sep 24, 2021",6,44
5,2021,9,30,5,-,Grown Ups,Movie,No,"Sep 20, 2021",7,43
6,2021,9,30,9,-,Intrusion,Movie,Yes,"Sep 22, 2021",7,37
7,2021,9,30,-,-,Vivo,Movie,Yes,"Aug 6, 2021",29,166
8,2021,9,30,-,5,Safe House,Movie,No,"Sep 16, 2021",9,58
9,2021,9,30,-,-,Home,Movie,No,"May 25, 2021",21,123
10,2021,9,30,-,9,Kate,Movie,Yes,"Sep 10, 2021",14,91
1,2021,10,1,-,1,Squid Game,TV Show,Yes,"Sep 17, 2021",12,111
2,2021,10,1,-,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",6,48
3,2021,10,1,1,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",3,26
4,2021,10,1,2,-,No One Gets Out Alive,Movie,Yes,"Sep 29, 2021",2,16
5,2021,10,1,3,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",7,46
6,2021,10,1,-,2,Sex Education,TV Show,Yes,"Jan 11, 2019",13,98
7,2021,10,1,5,4,Grown Ups,Movie,No,"Sep 20, 2021",8,47
8,2021,10,1,4,-,The Starling,Movie,Yes,"Sep 24, 2021",7,47
9,2021,10,1,-,9,Cocomelon,TV Show,No,"Jun 1, 2020",337,1204
10,2021,10,1,-,6,The Circle US,TV Show,Yes,"Jan 1, 2020",40,213
1,2021,10,2,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",13,121
2,2021,10,2,-,-,The Guilty,Movie,Yes,"Oct 1, 2021",1,9
3,2021,10,2,-,-,Maid,TV Show,Yes,"Oct 1, 2021",1,8
4,2021,10,2,2,6,Midnight Mass,TV Show,Yes,"Sep 24, 2021",7,55
5,2021,10,2,5,5,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",8,52
6,2021,10,2,3,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",4,31
7,2021,10,2,-,-,Seinfeld,TV Show,No,"Oct 1, 2021",1,4
8,2021,10,2,-,-,The Great British Baking Show,TV Show,No,"Oct 3, 2015",15,55
9,2021,10,2,9,10,Cocomelon,TV Show,No,"Jun 1, 2020",338,1206
10,2021,10,2,6,3,Sex Education,TV Show,Yes,"Jan 11, 2019",14,99
1,2021,10,3,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",14,131
2,2021,10,3,2,-,The Guilty,Movie,Yes,"Oct 1, 2021",2,18
3,2021,10,3,3,-,Maid,TV Show,Yes,"Oct 1, 2021",2,16
4,2021,10,3,4,3,Midnight Mass,TV Show,Yes,"Sep 24, 2021",8,62
5,2021,10,3,5,4,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",9,58
6,2021,10,3,7,-,Seinfeld,TV Show,No,"Oct 1, 2021",2,9
7,2021,10,3,6,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",5,35
8,2021,10,3,-,-,The DUFF,Movie,No,"Oct 1, 2021",1,3
9,2021,10,3,9,9,Cocomelon,TV Show,No,"Jun 1, 2020",339,1208
10,2021,10,3,-,6,Grown Ups,Movie,No,"Sep 20, 2021",9,48
1,2021,10,4,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",15,141
2,2021,10,4,2,-,The Guilty,Movie,Yes,"Oct 1, 2021",3,27
